Date,CO2Levels
0,315.71
1,317.45
2,317.5
3,317.1
4,315.86
5,314.93
6,313.2
7,312.66
8,313.33
9,314.67
10,315.62
11,316.38
12,316.71
13,317.72
14,318.29
15,318.15
16,316.54
17,314.8
18,313.84
19,313.26
20,314.8
21,315.58
22,316.43
23,316.97
24,317.58
25,319.02
26,320.03
27,319.59
28,318.18
29,315.91
30,314.16
31,313.83
32,315
33,316.19
34,316.93
35,317.7
36,318.54
37,319.48
38,320.58
39,319.77
40,318.57
41,316.79
42,314.8
43,315.38
44,316.1
45,317.01
46,317.94
47,318.56
48,319.68
49,320.63
50,321.01
51,320.55
52,319.58
53,317.4
54,316.26
55,315.42
56,316.69
57,317.69
58,318.74
59,319.08
60,319.86
61,321.39
62,322.25
63,321.47
64,319.74
65,317.77
66,316.21
67,315.99
68,317.12
69,318.31
70,319.57
71,320.07
72,320.73
73,321.77
74,322.25
75,321.89
76,320.44
77,318.7
78,316.7
79,316.79
80,317.79
81,318.71
82,319.44
83,320.44
84,320.89
85,322.13
86,322.16
87,321.87
88,321.39
89,318.81
90,317.81
91,317.3
92,318.87
93,319.42
94,320.62
95,321.59
96,322.39
97,323.87
98,324.01
99,323.75
100,322.39
101,320.37
102,318.64
103,318.1
104,319.79
105,321.08
106,322.07
107,322.5
108,323.04
109,324.42
110,325
111,324.09
112,322.55
113,320.92
114,319.31
115,319.31
116,320.72
117,321.96
118,322.57
119,323.15
120,323.89
121,325.02
122,325.57
123,325.36
124,324.14
125,322.03
126,320.41
127,320.25
128,321.31
129,322.84
130,324
131,324.42
132,325.64
133,326.66
134,327.34
135,326.76
136,325.88
137,323.67
138,322.38
139,321.78
140,322.85
141,324.11
142,325.03
143,325.99
144,326.87
145,328.13
146,328.07
147,327.66
148,326.35
149,324.69
150,323.1
151,323.16
152,323.98
153,325.13
154,326.17
155,326.68
156,327.18
157,327.78
158,328.92
159,328.57
160,327.34
161,325.46
162,323.36
163,323.57
164,324.8
165,326.01
166,326.77
167,327.63
168,327.75
169,329.72
170,330.07
171,329.09
172,328.05
173,326.32
174,324.93
175,325.06
176,326.5
177,327.55
178,328.54
179,329.56
180,330.3
181,331.5
182,332.48
183,332.07
184,330.87
185,329.31
186,327.51
187,327.18
188,328.16
189,328.64
190,329.35
191,330.71
192,331.48
193,332.65
194,333.2
195,332.16
196,331.07
197,329.12
198,327.32
199,327.28
200,328.3
201,329.58
202,330.73
203,331.46
204,331.9
205,333.17
206,333.94
207,333.45
208,331.98
209,329.95
210,328.5
211,328.35
212,329.37
213,330.58
214,331.59
215,332.75
216,333.52
217,334.64
218,334.77
219,334
220,333.06
221,330.68
222,328.95
223,328.75
224,330.15
225,331.62
226,332.66
227,333.13
228,334.95
229,336.13
230,336.93
231,336.16
232,334.88
233,332.56
234,331.29
235,331.27
236,332.41
237,333.6
238,334.95
239,335.25
240,336.66
241,337.69
242,338.03
243,338.01
244,336.41
245,334.41
246,332.37
247,332.41
248,333.75
249,334.9
250,336.14
251,336.69
252,338.27
253,338.96
254,339.21
255,339.26
256,337.54
257,335.75
258,333.98
259,334.19
260,335.31
261,336.81
262,337.9
263,338.34
264,340.01
265,340.93
266,341.48
267,341.33
268,339.4
269,337.7
270,336.19
271,336.15
272,337.27
273,338.32
274,339.29
275,340.55
276,341.61
277,342.53
278,343.03
279,342.54
280,340.78
281,338.44
282,336.95
283,337.08
284,338.58
285,339.88
286,340.96
287,341.73
288,342.81
289,343.97
290,344.63
291,343.79
292,342.32
293,340.09
294,338.28
295,338.29
296,339.6
297,340.9
298,341.68
299,342.9
300,343.33
301,345.25
302,346.03
303,345.63
304,344.19
305,342.27
306,340.35
307,340.38
308,341.59
309,343.05
310,344.1
311,344.79
312,345.52
313,346.84
314,347.63
315,346.97
316,345.53
317,343.55
318,341.4
319,341.67
320,343.1
321,344.7
322,345.21
323,346.16
324,347.74
325,348.33
326,349.06
327,348.38
328,346.72
329,345.02
330,343.27
331,343.13
332,344.49
333,345.88
334,346.56
335,347.28
336,348.01
337,349.77
338,350.38
339,349.93
340,348.16
341,346.08
342,345.22
343,344.51
344,345.93
345,347.22
346,348.52
347,348.73
348,349.73
349,351.31
350,352.09
351,351.53
352,350.11
353,348.08
354,346.52
355,346.59
356,347.96
357,349.16
358,350.39
359,351.64
360,352.41
361,353.69
362,354.21
363,353.72
364,352.69
365,350.4
366,348.92
367,349.13
368,350.2
369,351.41
370,352.91
371,353.27
372,353.96
373,355.64
374,355.86
375,355.37
376,353.99
377,351.81
378,350.05
379,350.25
380,351.49
381,352.85
382,353.8
383,355.04
384,355.73
385,356.32
386,357.32
387,356.34
388,354.84
389,353.01
390,351.31
391,351.62
392,353.07
393,354.33
394,354.84
395,355.73
396,357.23
397,358.66
398,359.13
399,358.13
400,356.19
401,353.85
402,352.25
403,352.35
404,353.81
405,355.12
406,356.25
407,357.11
408,357.86
409,359.09
410,359.59
411,359.33
412,357.01
413,354.94
414,352.95
415,353.32
416,354.32
417,355.57
418,357
419,357.31
420,358.47
421,359.27
422,360.19
423,359.52
424,357.33
425,355.64
426,354.03
427,354.12
428,355.41
429,356.91
430,358.24
431,358.92
432,359.99
433,361.23
434,361.65
435,360.81
436,359.38
437,357.46
438,355.73
439,356.07
440,357.53
441,358.98
442,359.92
443,360.86
444,361.83
445,363.3
446,363.69
447,363.19
448,361.64
449,359.12
450,358.17
451,357.99
452,359.45
453,360.68
454,362.07
455,363.24
456,364.17
457,364.57
458,365.13
459,364.92
460,363.55
461,361.38
462,359.54
463,359.58
464,360.89
465,362.24
466,363.09
467,364.03
468,364.51
469,366.35
470,366.64
471,365.59
472,364.31
473,362.25
474,360.29
475,360.82
476,362.49
477,364.38
478,365.26
479,365.98
480,367.24
481,368.66
482,369.42
483,368.99
484,367.82
485,365.95
486,364.02
487,364.4
488,365.52
489,367.13
490,368.18
491,369.07
492,369.68
493,370.99
494,370.96
495,370.3
496,369.45
497,366.9
498,364.81
499,365.37
500,366.72
501,368.1
502,369.29
503,369.54
504,370.6
505,371.81
506,371.58
507,371.7
508,369.86
509,368.13
510,367
511,367.03
512,368.37
513,369.67
514,370.59
515,371.51
516,372.43
517,373.37
518,373.85
519,373.21
520,371.51
521,369.61
522,368.18
523,368.45
524,369.76
525,371.24
526,372.53
527,373.2
528,374.12
529,375.02
530,375.76
531,375.52
532,374.01
533,371.85
534,370.75
535,370.55
536,372.25
537,373.79
538,374.88
539,375.64
540,376.45
541,377.73
542,378.6
543,378.28
544,376.7
545,374.38
546,373.17
547,373.14
548,374.66
549,375.99
550,377
551,377.87
552,378.88
553,380.35
554,380.62
555,379.69
556,377.47
557,376.01
558,374.25
559,374.46
560,376.16
561,377.51
562,378.46
563,379.73
564,380.77
565,382.29
566,382.45
567,382.22
568,380.74
569,378.74
570,376.7
571,377
572,378.35
573,380.11
574,381.38
575,382.19
576,382.67
577,384.61
578,385.03
579,384.05
580,382.46
581,380.41
582,378.85
583,379.13
584,380.15
585,381.82
586,382.89
587,383.9
588,384.58
589,386.5
590,386.56
591,386.1
592,384.5
593,381.99
594,380.96
595,381.12
596,382.45
597,383.95
598,385.52
599,385.82
600,386.03
601,387.21
602,388.54
603,387.76
604,386.36
605,384.09
606,383.18
607,382.99
608,384.19
609,385.56
610,386.94
611,387.48
612,388.82
613,389.55
614,390.14
615,389.48
616,388.03
617,386.11
618,384.74
619,384.43
620,386.02
621,387.42
622,388.71
623,390.2
624,391.17
625,392.46
626,393
627,392.15
628,390.2
629,388.35
630,386.85
631,387.24
632,388.67
633,389.79
634,391.33
635,391.86
636,392.6
637,393.25
638,394.19
639,393.73
640,392.51
641,390.13
642,389.08
643,389
644,390.28
645,391.86
646,393.12
647,393.86
648,394.4
649,396.18
650,396.74
651,395.71
652,394.36
653,392.39
654,391.11
655,391.05
656,392.98
657,394.34
658,395.55
659,396.8
660,397.43
661,398.41
662,399.78
663,398.61
664,397.32
665,395.2
666,393.45
667,393.7
668,395.16
669,396.84
670,397.85
671,398.01
672,399.77
673,401.38
674,401.78
675,401.25
676,399.1
677,397.03
678,395.38
679,396.03
680,397.28
681,398.91
682,399.98
683,400.28
684,401.54
685,403.28
686,403.96
687,402.8
688,401.31
689,398.93
690,397.63
691,398.29
692,400.16
693,401.85
694,402.52
695,404.04
696,404.83
697,407.42
698,407.7
699,406.81
700,404.39
701,402.25
702,401.03
703,401.57
704,403.53
705,404.48
706,406.13
707,406.42